City_Region,Property_Type,Total_Sales_Analyzed,Model_Accuracy_Score (R2),Average_Error_Margin,Base_Price,File_Name
Vaughan Corporate Centre,Condo Apartment,218,0.7,35049.0,533558.0,Vaughan_Corporate_Centre_Condo_Apartment_Matrix.csv
Victoria North,Detached,66,0.7,60789.0,852762.0,Victoria_North_Detached_Matrix.csv
Waterfront Communities C8,Condo Apartment,515,0.7,86411.0,727326.0,Waterfront_Communities_C8_Condo_Apartment_Matrix.csv
Clarkson,Detached,147,0.7,251577.0,1562053.0,Clarkson_Detached_Matrix.csv
Thurlow Ward,Townhouse,62,0.7,46430.0,524736.0,Thurlow_Ward_Townhouse_Matrix.csv
4103 - Ottawa Centre,Condo Apartment,83,0.7,42812.0,456323.0,4103_-_Ottawa_Centre_Condo_Apartment_Matrix.csv
Sandringham-Wellington North,Townhouse,47,0.7,75520.0,876708.0,Sandringham-Wellington_North_Townhouse_Matrix.csv
1013 - OO Old Oakville,Detached,84,0.7,824343.0,3540550.0,1013_-_OO_Old_Oakville_Detached_Matrix.csv
Stoney Creek Mountain,Detached,173,0.7,84071.0,915960.0,Stoney_Creek_Mountain_Detached_Matrix.csv
Brampton West,Detached,117,0.7,51821.0,861351.0,Brampton_West_Detached_Matrix.csv
St. Andrew-Windfields,Detached,128,0.7,386399.0,3083172.0,St._Andrew-Windfields_Detached_Matrix.csv
East Woodbridge,Townhouse,56,0.7,90553.0,912020.0,East_Woodbridge_Townhouse_Matrix.csv
1022 - WT West Oak Trails,Townhouse,60,0.7,61065.0,950086.0,1022_-_WT_West_Oak_Trails_Townhouse_Matrix.csv
The Beaches,Townhouse,42,0.7,151898.0,1161628.0,The_Beaches_Townhouse_Matrix.csv
1023 - BE Beaty,Detached,116,0.7,79365.0,1219880.0,1023_-_BE_Beaty_Detached_Matrix.csv
Lynde Creek,Detached,132,0.7,104016.0,1033040.0,Lynde_Creek_Detached_Matrix.csv
Guildwood,Condo Apartment,42,0.7,73847.0,734810.0,Guildwood_Condo_Apartment_Matrix.csv
462 - Rykert/Vansickle,Detached,78,0.7,54367.0,790387.0,462_-_Rykert_Vansickle_Detached_Matrix.csv
1106 - Fallingbrook/Gardenway South,Detached,79,0.7,50444.0,755908.0,1106_-_Fallingbrook_Gardenway_South_Detached_Matrix.csv
Erin Mills,Detached,243,0.7,118501.0,1336604.0,Erin_Mills_Detached_Matrix.csv
Annex,Townhouse,57,0.69,353053.0,1707607.0,Annex_Townhouse_Matrix.csv
3602 - Riverview Park,Condo Apartment,60,0.69,70523.0,542844.0,3602_-_Riverview_Park_Condo_Apartment_Matrix.csv
810 - Brockville,Condo Apartment,76,0.69,77529.0,264581.0,810_-_Brockville_Condo_Apartment_Matrix.csv
Vellore Village,Detached,301,0.69,153302.0,1559429.0,Vellore_Village_Detached_Matrix.csv
455 - Secord Woods,Detached,90,0.69,63047.0,536857.0,455_-_Secord_Woods_Detached_Matrix.csv
Saugeen Shores,Detached,258,0.69,103863.0,762700.0,Saugeen_Shores_Detached_Matrix.csv
Trinity-Bellwoods,Condo Apartment,50,0.69,92532.0,831715.0,Trinity-Bellwoods_Condo_Apartment_Matrix.csv
Mill Pond,Detached,120,0.69,198830.0,1727402.0,Mill_Pond_Detached_Matrix.csv
North C,Detached,117,0.69,33930.0,715318.0,North_C_Detached_Matrix.csv
Northcrest Ward 5,Detached,313,0.69,48330.0,600730.0,Northcrest_Ward_5_Detached_Matrix.csv
1019 - WM Westmount,Detached,131,0.69,133336.0,1582744.0,1019_-_WM_Westmount_Detached_Matrix.csv
East Woodbridge,Detached,165,0.69,158807.0,1630388.0,East_Woodbridge_Detached_Matrix.csv
Bedford Park-Nortown,Detached,187,0.69,444614.0,2787911.0,Bedford_Park-Nortown_Detached_Matrix.csv
Mimico,Detached,127,0.69,147131.0,1254832.0,Mimico_Detached_Matrix.csv
Mimico,Townhouse,71,0.68,62847.0,1109247.0,Mimico_Townhouse_Matrix.csv
Roncesvalles,Condo Apartment,71,0.68,101886.0,827318.0,Roncesvalles_Condo_Apartment_Matrix.csv
Brant,Condo Apartment,203,0.68,193587.0,901444.0,Brant_Condo_Apartment_Matrix.csv
South B,Townhouse,45,0.68,57948.0,604931.0,South_B_Townhouse_Matrix.csv
Sheridan,Detached,125,0.68,246063.0,1681303.0,Sheridan_Detached_Matrix.csv
Central Erin Mills,Condo Apartment,161,0.68,48561.0,564734.0,Central_Erin_Mills_Condo_Apartment_Matrix.csv
Steeles,Detached,96,0.68,78391.0,1277183.0,Steeles_Detached_Matrix.csv
7202 - Borden Farm/Stewart Farm/Carleton Heights/Parkwood Hills,Condo Apartment,84,0.68,51738.0,342851.0,7202_-_Borden_Farm_Stewart_Farm_Carleton_Heights_Parkwood_Hills_Condo_Apartment_Matrix.csv
Eglinton East,Detached,58,0.68,105277.0,1000979.0,Eglinton_East_Detached_Matrix.csv
Ingersoll - North,Detached,90,0.68,45085.0,559113.0,Ingersoll_-_North_Detached_Matrix.csv
13 - Kingston East (Incl Barret Crt),Detached,177,0.68,63786.0,758739.0,13_-_Kingston_East_(Incl_Barret_Crt)_Detached_Matrix.csv
